id,name,base_url,upstream_protocol,enabled,auto_discover_models,models,model_mappings,created_at,updated_at
deepseek,DeepSeek,URL-U272U7SVNQWNOCZ4WZ5WFSOJIQ,chat_completions,true,true,deepseek-chat deepseek-reasoner,{},1785444332,1785444332
siliconflow,SiliconFlow 硅基流动,URL-JR6DBBPJTFENE3URIOETGPRDME,chat_completions,true,true,,{},1785444332,1785444332
