archive	storage_budget	estimated_gt_372k	max_estimated	goal_policy_exported	namespaces	trees	fallback_audits	false_rejection_audits	audit_rows_omitted
codex-pool-diagnostics-v3-diagjob_69a4f1da1af8446aaf848d5c4b08aa0f.zip	4386	17	7378934	False	2	1504	3855	3855	5137
codex-pool-diagnostics-v3-diagjob_f43b28c5aa8f4fca8be1864725e1b626.zip	809	10	1204000	False	2	796	3057	3069	0
